epoch,loss,clean_acc,time
1,4.3103760959547195,13.42,18.17051100730896
2,3.7942667635505463,19.41,18.461129426956177
3,3.57855905047463,22.89,18.08792996406555
4,3.406050805240641,25.84,18.274566173553467
5,3.2532136690281237,29.65,18.316840648651123
6,3.1173780696166444,32.12,18.572815656661987
7,2.9722046028927465,34.17,18.231769800186157
8,2.8441202671021757,36.75,18.821824550628662
9,2.742289443759967,37.15,18.76170039176941
10,2.6668300189630454,41.02,18.582088947296143
11,2.60107007051063,42.57,18.193899869918823
12,2.543270081205441,43.87,18.327568531036377
13,2.495310299231878,44.35,18.238108158111572
14,2.4521845009015952,46.43,17.791893243789673
15,2.4247300588261442,46.31,17.950729846954346
16,2.3995403365405927,46.23,18.799461603164673
17,2.3774127051653458,46.86,18.44778275489807
18,2.3595589493851525,47.44,18.432907342910767
19,2.3308828264246206,48.78,18.50279450416565
20,2.315704880468071,48.97,18.517200469970703
21,2.3013332194989293,46.11,17.364887714385986
22,2.27997352857419,47.3,14.852147102355957
23,2.2687290995322225,50.31,12.396483421325684
24,2.253297914629397,51.33,12.28445291519165
25,2.244297383996227,47.98,12.904306888580322
26,2.2250605934416243,50.09,12.544456243515015
27,2.2300372132864754,48.32,13.084270000457764
28,2.209400297430775,48.77,12.523840427398682
29,2.1992728002845783,50.44,12.6414475440979
30,2.1890324378562402,50.9,12.541738986968994
31,2.182719676086055,48.56,13.05890703201294
32,2.177079194037201,52.91,13.025704622268677
33,2.1664231536943284,50.77,12.837261438369751
34,2.156852206915541,52.68,12.807731628417969
35,2.14287279268055,52.54,12.699889898300171
36,2.1311204643810497,52.55,12.594598770141602
37,2.129501657107907,50.16,12.247498512268066
38,2.1199093520488885,50.89,12.614931106567383
39,2.110591767084263,50.77,12.62498426437378
40,2.106096980211985,51.61,12.679224729537964
41,2.0959641149891612,51.42,12.834666967391968
42,2.090073246175371,51.88,12.853385210037231
43,2.085696625282697,52.39,12.783307790756226
44,2.082069670757674,52.07,12.914610862731934
45,2.0756527093975135,51.35,12.468389749526978
46,2.067257048223939,52.89,12.429030418395996
47,2.0698510036444113,55.33,12.472309589385986
48,2.0481090743828307,51.06,12.281161308288574
49,2.0441620267565597,53.33,12.936113119125366
50,2.0474316332956106,53.51,12.807274103164673
51,2.0391366061042335,52.72,12.606702089309692
52,2.0295262708688333,54.21,12.520503282546997
53,2.0202408955835014,51.84,14.091261625289917
54,2.0131514892553732,54.77,13.159226417541504
55,2.01627849770324,54.77,12.287336826324463
56,2.0030879623749676,54.4,12.935127973556519
57,1.9931161504267427,53.69,12.130216121673584
58,1.9987864762620853,54.19,12.706871032714844
59,1.9840012023516018,54.83,12.127229928970337
60,1.9751936703386819,55.82,12.56411337852478
61,1.9761504511089276,55.68,12.273802757263184
62,1.9607157118789984,55.98,12.604695320129395
63,1.964027599910336,55.65,12.617187976837158
64,1.9566361901095457,55.52,12.864521026611328
65,1.948220361833987,56.95,12.37250280380249
66,1.9416316235461808,56.72,13.668834686279297
67,1.9337313321545302,56.08,12.736130475997925
68,1.9301284362592965,57.0,12.239887237548828
69,1.9140251975535127,57.34,12.85348892211914
70,1.9202494825548528,57.08,12.530848026275635
71,1.9143733716072024,57.75,12.731873989105225
72,1.9068668342917168,57.82,12.600666761398315
73,1.8887644673857238,55.82,12.758434534072876
74,1.8934327004205844,58.25,13.087074756622314
75,1.876628715973681,57.3,12.812252044677734
76,1.8851100517355877,58.53,12.659414768218994
77,1.874875926910459,58.0,12.917125940322876
78,1.868299452545088,57.42,12.902478218078613
79,1.8639496177663584,57.25,12.669279098510742
80,1.8574075067744535,57.43,12.574054479598999
81,1.8454401956494813,56.42,12.668530464172363
82,1.8413289081105186,59.62,13.826843976974487
83,1.8263186789534587,58.52,12.724390745162964
84,1.8213661903005731,59.23,12.380144119262695
85,1.813556043998055,59.28,13.215933084487915
86,1.8077119707756335,58.6,12.625343799591064
87,1.8026821951732002,58.88,13.002644538879395
88,1.7865086293891264,59.78,12.13994574546814
89,1.786487311658347,59.33,12.630537271499634
90,1.7750324916351787,59.83,13.00266695022583
91,1.7744597839882306,58.05,12.776367425918579
92,1.7686017163269354,59.45,12.730602502822876
93,1.7565623079724324,60.87,12.16987919807434
94,1.7408384176166467,60.14,12.567534685134888
95,1.748704113313914,59.95,12.313850164413452
96,1.7245266336919096,60.16,12.533655166625977
97,1.7264751323958492,61.84,12.224214315414429
98,1.7212285071687625,59.76,12.408861875534058
99,1.7125722444270883,60.48,12.587591648101807
100,1.6974399202619976,60.54,12.5694739818573
101,1.6949023740065983,60.6,12.888636112213135
102,1.6860430841250797,60.3,13.061097383499146
103,1.686006993588889,61.11,12.637352228164673
104,1.666539437020831,61.06,12.723122358322144
105,1.6556082418202744,61.99,13.040581941604614
106,1.6516153504476523,60.78,13.66431999206543
107,1.6404341950136072,61.58,12.397185802459717
108,1.631746990601425,61.33,12.564631938934326
109,1.6268165928628437,60.44,12.804027795791626
110,1.617744784525898,62.73,13.343482255935669
111,1.5995196543081338,61.79,12.412704467773438
112,1.600815877890038,62.45,12.324226379394531
113,1.5918594568281832,62.18,12.658729553222656
114,1.5783643798754954,62.21,12.073168516159058
115,1.5727486921393352,61.29,12.716281414031982
116,1.5578677706096484,62.2,12.469437837600708
117,1.5484252652853652,62.31,12.37867259979248
118,1.5404434042513524,63.45,12.613243579864502
119,1.5200321979230018,63.47,12.509586334228516
120,1.5186702464242725,62.8,13.095297813415527
121,1.5059004985462978,63.53,12.62689995765686
122,1.5044929337928363,64.87,12.24970269203186
123,1.4917461832466028,63.19,12.241683721542358
124,1.4733435317988286,64.54,12.528339862823486
125,1.4576406856936872,64.68,12.936566591262817
126,1.4459774558196592,63.54,12.457536458969116
127,1.4366125545233412,63.89,12.974194288253784
128,1.4346588703677476,64.76,12.595155477523804
129,1.4124071482197402,64.29,12.855447769165039
130,1.4040756926817053,64.69,12.744679689407349
131,1.3956467340059597,64.83,12.423745393753052
132,1.3792972547928695,64.52,13.006119728088379
133,1.3648837166064232,64.36,12.509761095046997
134,1.356698341076941,65.3,12.832756042480469
135,1.3464619793245554,65.73,13.287224769592285
136,1.3324678880174448,65.68,12.604536533355713
137,1.3151847153063625,65.18,12.937805652618408
138,1.3014139752558735,65.64,12.686175107955933
139,1.2980054577293298,65.69,12.485191583633423
140,1.2793739168235407,65.57,13.189456224441528
141,1.2590113390437172,65.63,12.542172908782959
142,1.2542996935527344,65.71,12.540373802185059
143,1.2424943062960339,65.84,12.615199089050293
144,1.2268981520477158,66.47,12.783652067184448
145,1.2212584511093472,66.55,13.007959127426147
146,1.2014405318843129,66.55,12.521088600158691
147,1.1920007564832487,67.08,12.56067705154419
148,1.1657774905719416,67.34,12.6150541305542
149,1.154941517678673,67.27,13.74196195602417
150,1.1410907401758081,66.96,13.105745792388916
151,1.1203243165369838,67.67,12.74396300315857
152,1.1078736283590116,67.79,12.835663557052612
153,1.1004044041609216,67.9,12.400104999542236
154,1.0800399886982521,67.22,12.492358207702637
155,1.0589741883070574,67.44,13.178126811981201
156,1.0355231688760431,67.47,13.408472299575806
157,1.0231581965980627,67.18,12.450954914093018
158,1.0183766752557681,68.26,12.509699583053589
159,0.9985537623505458,68.22,12.614521503448486
160,0.9760823574517389,68.43,12.807809114456177
161,0.9714608068966195,68.02,12.42418885231018
162,0.9578657918573951,68.07,12.907787084579468
163,0.939108692624075,68.34,12.93532395362854
164,0.9106002561271648,68.82,12.46835207939148
165,0.8943599697269137,68.33,12.72292160987854
166,0.8846948826709367,68.63,12.560610294342041
167,0.8576968207078821,69.23,12.564754962921143
168,0.8382877021494424,68.6,12.53085732460022
169,0.8277685271809473,68.98,13.813498735427856
170,0.8160798298123547,69.02,12.813508033752441
171,0.7919948703187811,69.16,12.604398727416992
172,0.7744256546125388,69.67,12.826680421829224
173,0.7628447353992316,69.43,12.761642694473267
174,0.736440362908956,69.09,13.030091524124146
175,0.7280925039745048,68.92,13.042933702468872
176,0.7053268644815821,69.07,12.797709226608276
177,0.6948924400769841,69.34,12.546685695648193
178,0.6751134900943093,69.22,12.766094446182251
179,0.6544247164445764,69.25,12.376484394073486
180,0.6425484267951888,69.5,12.455451726913452
181,0.6289040973729185,69.77,12.567378997802734
182,0.6115021415226295,69.47,12.698493719100952
183,0.5986523630521486,69.61,13.399896144866943
184,0.5783662276194833,70.07,12.442644596099854
185,0.5727883784667306,69.67,12.702143907546997
186,0.5607433034788312,70.08,12.7621009349823
187,0.5469403331694396,70.55,12.447381496429443
188,0.5383010978436531,70.16,12.975564956665039
189,0.5232279015624005,70.2,12.379271030426025
190,0.5235106653874487,70.33,12.537382125854492
191,0.5167587259236504,70.36,12.434269905090332
192,0.5059039958602632,70.27,12.196291208267212
193,0.49380054265794243,70.02,12.437726259231567
194,0.48964395654171017,70.27,12.344967603683472
195,0.49011446615619125,70.29,13.108470916748047
196,0.48514748023599,70.6,12.957985639572144
197,0.48719292536111136,70.5,12.667305946350098
198,0.48581694520038105,70.33,13.036066055297852
199,0.48378493535854017,70.32,12.314279317855835
200,0.476191270458119,70.41,12.405361890792847
