epoch,loss,clean_acc,time
1,7.49328395472768,14.9,32.92421293258667
2,6.60567141798756,21.82,31.89938521385193
3,6.129226845548586,25.87,31.726890325546265
4,5.728970687407667,30.91,31.919113636016846
5,5.365761714213339,35.71,31.847203493118286
6,5.042346987273077,37.89,31.89750337600708
7,4.807233418954913,41.26,31.767794847488403
8,4.612839062195604,44.16,41.64572024345398
9,4.441503490633367,44.81,48.0014214515686
10,4.3047383892566655,45.01,48.046515226364136
11,4.2095833001539225,47.63,47.95989632606506
12,4.11247800927028,48.63,48.041449546813965
13,4.043451747016224,47.05,48.12585520744324
14,3.9642559378348348,47.7,46.45949125289917
15,3.913274276591933,49.73,31.988399505615234
16,3.8775318034774506,51.44,31.722906827926636
17,3.8339319546204393,51.93,31.56446886062622
18,3.797086737649825,49.65,31.86068630218506
19,3.770423119025462,51.63,31.911439895629883
20,3.7323523933625284,50.54,32.035945653915405
21,3.7013553963292893,50.42,31.89336133003235
22,3.6732704999196866,51.98,31.89010500907898
23,3.665411421100197,54.36,31.908745527267456
24,3.6238228482053714,53.27,31.66580581665039
25,3.6211497393410528,53.2,32.15491557121277
26,3.587670938438162,53.95,31.78290557861328
27,3.564133133119939,51.55,31.885526657104492
28,3.5562935698672633,53.89,31.975908041000366
29,3.5399503781057686,53.54,32.09372878074646
30,3.525007310730722,53.17,31.986822366714478
31,3.509500588907305,54.1,31.86001706123352
32,3.479730855473472,55.85,31.851940393447876
33,3.4773068799996927,55.3,31.808645248413086
34,3.436810208708429,52.18,31.93677520751953
35,3.4427489502655577,56.33,31.899046421051025
36,3.438917382598838,57.25,31.868712902069092
37,3.4172944461598114,56.41,31.829607725143433
38,3.4005710639612143,56.01,31.898234367370605
39,3.3916381454223865,54.88,31.891087770462036
40,3.3824584654834875,56.64,31.99798345565796
41,3.368987544418296,57.97,31.58044672012329
42,3.361743606264939,57.36,31.925929307937622
43,3.3359103684535114,56.74,31.932824850082397
44,3.338210843713082,57.17,31.834088563919067
45,3.3261567046270346,56.81,31.78453516960144
46,3.325730304888752,57.32,31.884018182754517
47,3.304366030046702,57.38,31.87058973312378
48,3.302710063622126,57.62,31.88807439804077
49,3.2741753500135964,56.48,32.01542544364929
50,3.2660338689604074,56.12,31.840690851211548
51,3.2543018120329092,57.41,31.902929544448853
52,3.242550023071601,57.07,31.845975399017334
53,3.2452193526050928,57.79,31.950757265090942
54,3.230820532649984,58.84,31.95670509338379
55,3.2117564501359945,58.77,31.7867534160614
56,3.213209589424036,58.27,31.868698120117188
57,3.1940643202008494,58.56,32.12239336967468
58,3.190229867730299,59.24,31.926687479019165
59,3.186731049471804,58.93,31.585176467895508
60,3.1716087114475573,60.33,31.908148765563965
61,3.165234973058676,59.18,31.925427675247192
62,3.1541439785676846,59.4,31.67534613609314
63,3.1400775372829584,60.08,31.724454641342163
64,3.123322038699294,59.3,31.979487419128418
65,3.123771951021746,59.02,31.94318985939026
66,3.1284067258810446,58.42,31.77906584739685
67,3.099466927521064,59.33,31.899359226226807
68,3.0935327482345465,60.83,31.76249933242798
69,3.0880978735511566,59.45,31.742231130599976
70,3.0755202337299163,59.92,31.857130765914917
71,3.0729145668351743,58.71,31.835294008255005
72,3.0566427177175535,59.64,31.834365844726562
73,3.0395778786495824,60.6,31.851415634155273
74,3.0276824903610113,60.66,31.79188871383667
75,3.0167860978704586,60.83,31.601881742477417
76,3.010306148577834,60.51,31.805654048919678
77,3.0033871822649867,60.53,31.83247399330139
78,3.0116878946114074,59.75,31.9081609249115
79,2.9929368971558787,61.22,32.01844143867493
80,2.97192548485973,60.47,31.675758123397827
81,2.960670309603367,62.11,31.798300743103027
82,2.9537119097112083,62.49,31.90447235107422
83,2.9362312838854385,62.06,31.57270336151123
84,2.9473127843168996,62.03,31.849478483200073
85,2.918337149998111,62.04,31.807321310043335
86,2.91318031832995,62.06,31.84943461418152
87,2.883893172149463,62.27,31.87204909324646
88,2.885598607685255,63.56,31.81932520866394
89,2.8616368337665374,62.72,31.946484327316284
90,2.866817839005414,63.21,31.666439056396484
91,2.8520183709576306,63.43,31.91719365119934
92,2.850365794833054,64.65,31.72885775566101
93,2.826030801324283,62.14,31.88211464881897
94,2.807314802618588,62.52,31.892239809036255
95,2.8073507519939063,63.69,31.87455987930298
96,2.7919203655799025,63.57,31.83240842819214
97,2.771141943114493,63.9,31.877692699432373
98,2.7724518452763864,63.88,31.84201455116272
99,2.7537323398053495,64.49,31.779599905014038
100,2.7434994082926485,62.14,31.728043794631958
101,2.7177039534234635,63.27,31.8837308883667
102,2.7306410254115034,64.82,31.977197408676147
103,2.7077264590641423,65.52,31.88703989982605
104,2.6813499982399707,64.91,32.011916399002075
105,2.6814034765638657,64.86,31.781800031661987
106,2.669198027657121,65.17,31.84389591217041
107,2.650326725162204,65.55,31.725627899169922
108,2.6452396928196977,64.96,31.752354860305786
109,2.6264878490087016,65.44,31.97540283203125
110,2.621977487183593,64.28,31.856465339660645
111,2.6015319049815693,64.45,31.87215757369995
112,2.58279965295816,66.45,31.683346033096313
113,2.571586528397582,65.89,31.852654695510864
114,2.546613527990668,65.69,31.790067434310913
115,2.547738108183722,65.85,31.980652809143066
116,2.527273802501161,65.69,31.70076870918274
117,2.520084264638174,66.68,31.977932453155518
118,2.510230479033097,64.36,31.756001710891724
119,2.4933782373852744,67.33,31.96385383605957
120,2.4700957369011687,66.99,31.877875804901123
121,2.454799181360113,67.85,31.779155492782593
122,2.4371522729049255,67.59,31.77034330368042
123,2.4237952159188896,67.53,31.85391092300415
124,2.4197961948716733,67.62,31.781250476837158
125,2.393924030196636,67.86,31.848325967788696
126,2.382513549321753,67.68,31.778070211410522
127,2.3650984934833654,67.43,31.740201473236084
128,2.35355278872468,67.31,31.745139598846436
129,2.3359840715022955,68.52,31.884766340255737
130,2.3255232203647,68.71,31.878177404403687
131,2.300337803638195,68.68,31.942301988601685
132,2.292139106699268,69.14,31.69838285446167
133,2.278867102340054,69.25,31.738386631011963
134,2.261808866735005,68.29,31.833239793777466
135,2.241849891974798,68.9,31.89797329902649
136,2.231693708988102,68.77,31.88181209564209
137,2.2150196529105495,69.38,31.865535736083984
138,2.1857767647794444,69.62,31.79124617576599
139,2.177196678907975,69.63,31.88097643852234
140,2.151722801920703,68.56,31.812719583511353
141,2.1402204649527663,68.67,31.9404194355011
142,2.1202449585165817,69.29,31.782324075698853
143,2.097227367293804,70.51,31.86110281944275
144,2.08423890055293,70.52,31.785125732421875
145,2.066432923002316,70.26,31.906585693359375
146,2.055562750762686,70.86,31.736464977264404
147,2.039297375227789,69.94,31.892532110214233
148,2.0242209233286435,69.81,31.92697834968567
149,2.002866078825558,70.38,31.912338733673096
150,1.9887203853148634,70.02,31.91358995437622
151,1.9626226150776114,71.85,31.77478528022766
