epoch,loss,loss_ce,loss_js,loss_kd,loss_rkd,clean_acc,time
1,9.563960429042806,4.212197294015714,0.011452484197076172,0.138037132732856,0.004907181348337237,13.96,16.866463661193848
2,8.73118979851608,3.8999321808290603,0.012243614798826177,0.1205182800360043,0.004547937261059766,21.27,16.22107219696045
3,7.943478544044982,3.649264572831371,0.012865947192663428,0.1013562557528086,0.00422539501069852,25.5,16.07957935333252
4,7.4786506674783615,3.471316665639658,0.013960095968030755,0.09004891480859893,0.004077669042531791,20.14,16.16449213027954
5,7.113045464391294,3.316930700750912,0.015251598354247982,0.08291680552541753,0.003909518920204333,30.33,16.142335176467896
6,6.691585868825693,3.128528868755721,0.017382171078849477,0.07508964310674106,0.0037053561587210584,32.81,16.154908895492554
7,6.397582091943687,2.9952917916085715,0.01879830673679976,0.06987657459914837,0.003558358238281115,36.78,16.12545156478882
8,6.139414521434423,2.8807335229176085,0.01998489916496112,0.06548162069543244,0.0034184596070167047,38.23,16.185605764389038
9,5.9525022799401635,2.800751609875418,0.020769898246144853,0.06261948874348874,0.003300244222059274,38.52,16.09126877784729
10,5.820214658137172,2.738749976048384,0.02167724565986325,0.06038959527297703,0.0032270916355321244,39.62,16.135937213897705
11,5.762480078450859,2.7068393962157655,0.022093739941754304,0.05935184463210728,0.0032069578134428585,40.28,16.2024507522583
12,5.692316918726772,2.6732322005054834,0.022294582022577905,0.05837830555294176,0.003167967234626222,41.83,16.27410888671875
13,5.6354079380669555,2.64772826753309,0.022700228640223707,0.057177621699736246,0.00314344897868631,39.95,16.149293899536133
14,5.599199146260996,2.6336720361733987,0.023108435994790642,0.0567706588589017,0.0031056254369723597,40.52,16.192034244537354
15,5.5608850062045905,2.6072573222772544,0.0235010796724378,0.05589339727788325,0.0031074935843086685,41.96,16.14446997642517
16,5.515701458582183,2.595317494228978,0.023358287894741044,0.0554019502742821,0.0030640910309322577,43.96,16.131514310836792
17,5.479500029093164,2.579566207383295,0.023610701679687977,0.05473145080344451,0.003043952754691548,41.62,16.13184666633606
18,5.48326846095912,2.5784055430565953,0.023746376961965084,0.05468946386633627,0.003052234223298252,43.91,16.121872663497925
19,5.4472467807857585,2.5624983883879677,0.023885318690248767,0.05435336697513185,0.0030221144527034917,42.24,16.151771306991577
20,5.407775252066609,2.5461967552409455,0.024078614719193,0.05350548028945923,0.0030050510165455474,43.93,16.182297945022583
21,5.37908299072929,2.532439278824555,0.02407263774339043,0.053349231677058406,0.002981574849828201,42.2,16.124175310134888
22,5.3503350857883465,2.5227429299708217,0.024212433001421906,0.05280413744432847,0.002961920387328357,43.13,16.10238289833069
23,5.3332868915079805,2.509738850776497,0.024401411342689448,0.0526621980816507,0.002954974273919983,41.58,16.14734387397766
24,5.322816321916897,2.511238359124459,0.024311561785314396,0.05241536331908477,0.002943063886655147,44.15,16.131654262542725
25,5.3157270631521865,2.5025215514785493,0.02439899688296001,0.0522699223264404,0.0029500382148501133,43.5,16.1347918510437
26,5.2899289826298,2.490142186279492,0.02460154361756104,0.05190127594467929,0.0029330854732876697,42.49,16.09469246864319
27,5.292821551222936,2.497699499130249,0.02475313147734803,0.05177756549452272,0.0029250663357412877,41.8,16.188863277435303
28,5.286511273640196,2.4873804826565715,0.02466865988148143,0.05183195981108929,0.002932935342778597,44.79,16.06287908554077
29,5.273073493977032,2.480804988490346,0.024884159812498887,0.051513919906924145,0.002926760352552509,46.1,16.134605884552002
30,5.21690634876261,2.4625939865551336,0.0250901109145959,0.05101266223222703,0.0028659555563212507,45.06,16.20623230934143
31,5.2532767578768915,2.477001379822831,0.025070102690049754,0.0511018583155654,0.0029067939368869794,44.71,16.1965651512146
32,5.225540202596913,2.4617043870794193,0.02484661803754699,0.050924952082393116,0.002894354709650359,45.77,16.125433444976807
33,5.229654610919221,2.4622358287996646,0.02521084265216537,0.05086142886096559,0.00289532019104094,42.4,16.160037994384766
34,5.217377067526893,2.4600025485543644,0.025104452415233684,0.05077830375269856,0.0028811100313006458,42.73,16.160600662231445
35,5.180503875703153,2.4473489025974517,0.02520035464993066,0.05016471685655891,0.0028549127347405304,44.04,16.243977069854736
36,5.181047977388972,2.4449730767008595,0.02529558232601951,0.04997662070881375,0.002865991041855053,47.22,16.186859130859375
37,5.189895938424503,2.45023159907602,0.02520737867526081,0.05018103701036299,0.002867110084284983,46.98,16.329845428466797
38,5.165713109018857,2.4392156393631645,0.025201220036772512,0.049842480255667204,0.002854466452584852,45.11,16.229587078094482
39,5.177446632434036,2.436467514928345,0.02541738960063061,0.04986416697121032,0.00287737419157077,44.81,16.2518789768219
40,5.140522604403288,2.423755906122115,0.025628753911579965,0.049624241021511806,0.0028334736515579703,44.46,16.179508686065674
41,5.121859179738233,2.4186565180873627,0.02550444812954539,0.04930118270351759,0.0028222512294207233,45.8,16.172853231430054
42,5.141502734035482,2.4281345877196174,0.025357614812033864,0.049556300348942844,0.002835901526143522,45.1,16.184370517730713
