epoch,loss,clean_acc,time
1,6.25450883436081,15.58,16.795220851898193
2,5.508373127569018,23.04,16.071767568588257
3,5.134945779200405,26.24,16.183764934539795
4,4.821358773409558,31.26,24.06813907623291
5,4.545508782272144,35.66,31.88991904258728
6,4.329462912991223,39.5,31.97588801383972
7,4.13566505512618,39.98,32.21973133087158
8,3.971043871491766,43.82,32.262346029281616
9,3.845744277510192,43.51,32.06702995300293
10,3.7278498597157275,44.6,32.08261322975159
11,3.6348267333281923,45.24,31.996195316314697
12,3.5467196834056884,47.69,32.26127552986145
13,3.4944820769912446,47.92,32.07434844970703
14,3.44619839331683,48.93,31.897377014160156
15,3.3962539967978396,50.61,31.98738169670105
16,3.3567021557742067,51.22,31.94953680038452
17,3.3234249722317357,50.47,32.25181484222412
18,3.2840848944681076,51.44,32.34493684768677
19,3.27540311606034,52.53,32.03971576690674
20,3.244604452186838,52.21,32.04592561721802
21,3.210261104052024,52.86,32.2381386756897
22,3.1956693894418,52.2,32.20315504074097
23,3.1736289028011626,50.52,32.053020000457764
24,3.15260351283471,51.73,32.2275013923645
25,3.1446973295772778,53.51,32.10728216171265
26,3.123199958630535,52.83,31.997051239013672
27,3.1078809594254357,52.94,32.24018692970276
28,3.098290073902101,54.05,31.98557472229004
29,3.081528014234265,55.22,32.161919355392456
30,3.0534357750202386,53.4,32.218101024627686
31,3.0684873630933445,53.29,32.224618911743164
32,3.0375545238289994,55.84,32.12326383590698
33,3.036071473680189,54.42,32.23193407058716
34,3.0232299118090773,56.64,32.26395273208618
